timestep,value,action
565,9.157757,[[-1.          0.30466133  0.        ]]
566,4.6950173,[[0.28930902 0.         0.        ]]
567,3.846903,[[-0.5082404  0.         0.       ]]
568,3.0672886,[[0.8966121 0.9574652 0.       ]]
569,1.8739204,[[0.34300703 0.         0.        ]]
570,1.3147995,[[0.9797013  0.41753316 0.        ]]
571,1.3424624,[[1. 1. 0.]]
572,2.5992491,[[1. 0. 0.]]
573,3.2205346,[[1. 0. 0.]]
574,3.9310403,[[0.27822518 1.         0.        ]]
575,3.9605544,[[1. 0. 0.]]
576,4.0647893,[[1. 1. 0.]]
577,4.515785,[[1.        0.8109281 0.       ]]
578,4.693375,[[0.7057209  0.00504705 0.        ]]
